Participant,Media,Timeline,AOI,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Average_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Number_of_saccades_in_AOI
4,Presentation2,T,M1-2-A,3764,145,26,167426,2.82895,4880,542,9,167426,7
4,Presentation2,T,M1-2-B,3914,135,29,118615,2.81225,5213,434,12,118615,7
4,Presentation2,T,M1-2-BLANK,4164,104,40,527,2.89101,5196,217,24,527,7
4,Presentation2,T,M1-2-C,83,83,1,143012,3.08223,83,83,1,143012,0
4,Presentation2,T,M1-2-D,0,,0,,,0,,0,,0
4,Presentation2,T,M1-2-DELETE,12108,164,74,2143,2.71536,18570,1326,14,2143,32
4,Presentation2,T,M1-2-DELETE,42370,126,336,1693,2.67811,108831,3109,35,1693,65
4,Presentation2,T,Q,12857,135,95,5257,2.80719,19353,1210,16,5257,39
4,Presentation2,T,T,56343,133,425,1693,2.68679,136577,4268,32,1693,106
4,Presentation2,Entire Recording,M1-2-A,3764,145,26,246240,2.82895,4880,542,9,246240,7
4,Presentation2,Entire Recording,M1-2-B,3914,135,29,197429,2.81225,5213,434,12,197429,7
4,Presentation2,Entire Recording,M1-2-BLANK,4164,104,40,79341,2.89101,5196,217,24,79341,7
4,Presentation2,Entire Recording,M1-2-C,83,83,1,221825,3.08223,83,83,1,221825,0
4,Presentation2,Entire Recording,M1-2-D,0,,0,,,0,,0,,0
4,Presentation2,Entire Recording,M1-2-DELETE,12108,164,74,80956,2.71536,18570,1326,14,80956,32
4,Presentation2,Entire Recording,M1-2-DELETE,42370,126,336,80506,2.67811,108831,3109,35,80506,65
4,Presentation2,Entire Recording,Q,12857,135,95,84071,2.80719,19353,1210,16,84071,39
4,Presentation2,Entire Recording,T,56343,133,425,80506,2.68679,136577,4268,32,80506,106
4,Presentation3,T+A,M2-1-A,933,85,11,82647,2.77377,1715,343,5,82647,1
4,Presentation3,T+A,M2-1-B,0,,0,,,0,,0,,0
